"Fecha","Estado","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-04-05","AGU",49,122,378,0,
"2020-04-05","BCN",69,201,360,6,
"2020-04-05","BCS",28,92,180,2,
"2020-04-05","CAM",8,10,39,0,
"2020-04-05","CHH",15,29,85,0,
"2020-04-05","CHP",25,52,128,0,
"2020-04-05","CMX",560,697,1382,19,3
"2020-04-05","COA",82,222,439,4,
"2020-04-05","COL",4,19,40,0,
"2020-04-05","DUR",12,48,99,3,
"2020-04-05","GRO",30,112,160,2,
"2020-04-05","GUA",53,162,924,0,
"2020-04-05","HID",34,73,227,5,
"2020-04-05","JAL",123,774,1036,6,2
"2020-04-05","MEX",204,434,745,3,
"2020-04-05","MIC",30,49,222,3,
"2020-04-05","MOR",15,45,126,3,
"2020-04-05","NAY",9,18,84,1,
"2020-04-05","NLE",91,203,819,2,
"2020-04-05","OAX",25,30,198,1,
"2020-04-05","PUE",147,199,346,1,
"2020-04-05","QUE",38,37,247,2,
"2020-04-05","ROO",86,110,214,4,
"2020-04-05","SIN",90,248,242,12,
"2020-04-05","SLP",37,111,407,2,
"2020-04-05","SON",28,114,227,1,
"2020-04-05","TAB",97,342,313,4,
"2020-04-05","TAM",26,67,156,1,
"2020-04-05","TLA",11,72,153,0,
"2020-04-05","VER",40,404,280,3,
"2020-04-05","YUC",67,68,262,2,
"2020-04-05","ZAC",10,45,164,2,
